Crypto Name,Crypto Price,24hrChange,marketcap,Volume
Bitcoin,"$16,521.78",+0.72%,$311.73 B,$36.13 B
Ethereum,"$1,151.15",+0.31%,$138.62 B,$14.61 B
Tether,$1.01,+0.02%,$65.44 B,$50.52 B
USD Coin,$1.00,-0.02%,$44.08 B,$4.47 B
BNB,$269.33,+1.70%,$42.3 B,$969.2 M
Binance USD,$1.00,+0.08%,$22.79 B,$9.2 B
XRP,$0.3787,+4.55%,$18.71 B,$1.54 B
Cardano,$0.3194,+1.66%,$10.84 B,$397.63 M
Dogecoin,$0.07991,+3.52%,$10.42 B,$700.91 M
Polygon,$0.8734,+6.72%,$7.49 B,$730.32 M
Polkadot,$5.38,+1.20%,$6.02 B,$283.34 M
Dai,$1.01,+0.02%,$5.82 B,$374.2 M
Wrapped TRON,$0.05054,-1.30%,$5.14 B,$4.46 M
Litecoin,$72.30,+14.29%,$5.03 B,$1.23 B
HEX,$0.02759,-3.95%,$4.78 B,$7.09 M
Shiba Inu,$0.000008866,+0.61%,$4.77 B,$212.77 M
TRON,$0.05048,-1.54%,$4.65 B,$757.38 M
Solana,$12.74,+0.89%,$4.36 B,$529.2 M
Uniswap,$5.46,+0.10%,$4.07 B,$189.55 M
Lido stETH,"$1,106.64",-0.97%,$3.86 B,"$504,127"
Wrapped Bitcoin,"$16,524.43",+0.69%,$3.8 B,$239.79 M
Avalanche,$12.50,+2.35%,$3.7 B,$220.54 M
UNUS SED LEO,$3.80,-2.17%,$3.63 B,$3.41 M
Chainlink,$6.50,+10.19%,$3.14 B,$496.77 M
Cosmos,$9.52,+2.29%,$2.67 B,$164.79 M
Ethereum Classic,$19.04,+3.68%,$2.56 B,$274.44 M
Monero,$129.76,-3.10%,$2.36 B,$111.07 M
Stellar,$0.08842,+1.09%,$2.23 B,$74.04 M
Toncoin,$1.74,-0.18%,$2.12 B,$6.06 M
Bitcoin Cash,$110.86,+5.72%,$2.09 B,$301.55 M
Algorand,$0.2441,-3.66%,$1.71 B,$168.87 M
Cronos,$0.06603,-0.86%,$1.64 B,$30.68 M
Filecoin,$4.38,+3.13%,$1.39 B,$130.6 M
NEAR Protocol,$1.65,+5.26%,$1.34 B,$210.62 M
Quant,$111.76,+2.28%,$1.32 B,$58.04 M
VeChain,$0.01858,-0.47%,$1.31 B,$40.3 M
OKB,$20.28,+2.21%,$1.22 B,$15.49 M
Frax,$0.9991,+0.75%,$1.18 B,$8.76 M
Flow,$1.16,+0.56%,$1.18 B,$36.34 M
ApeCoin,$3.32,+7.99%,$1.18 B,$231 M
Chiliz,$0.1869,-5.03%,$1.12 B,$621.59 M
Hedera,$0.04882,+0.82%,$1.06 B,$22.74 M
Wrapped BNB,$264.54,+1.59%,$1.03 B,$111.42 M
Internet Computer,$3.79,+1.49%,$1.02 B,$34.3 M
Elrond,$41.33,-1.37%,$963.74 M,$35.26 M
Pax Dollar,$0.997,-0.14%,$942.85 M,$5.81 M
EOS,$0.89,+1.78%,$939.08 M,$150.69 M
Trust Wallet Token,$2.21,+7.29%,$919.87 M,$123.79 M
Luna Classic,$0.0001732,+0.78%,$936.73 M,$127.95 M
Chain,$0.04103,-6.49%,$880.94 M,$10.18 M
